Estado,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,Total
Aguascalientes ,14,145,205,211,272,228,493,117,139,64,134,0,202
Baja California ,2,16,16,10,15,21,55,4,9,2,2,0,15
Baja California Sur ,1,5,5,10,4,10,15,3,7,1,0,0,6
Campeche ,0,4,7,2,4,8,29,3,8,4,6,0,7
Coahuila ,4,17,12,24,21,34,81,8,14,3,7,0,22
Colima ,59,603,751,1020,1391,1330,3843,676,1011,353,676,4,1171
Chiapas ,2,15,30,25,17,30,121,23,51,11,24,0,34
Chihuahua ,8,48,43,45,40,36,105,22,24,9,17,0,39
Distrito Federal ,4,32,62,53,65,66,169,34,39,13,21,0,55
Durango ,68,591,750,999,1194,1113,2781,516,691,311,602,0,961
Guanajuato ,205,2721,3574,4221,3731,3371,9234,1484,2215,770,1802,21,3334
Guerrero ,354,4994,6172,7323,7764,6362,15676,3059,4522,1725,4108,47,6210
Hidalgo ,1,15,31,23,26,28,67,10,17,9,10,0,23
Jalisco ,362,4248,4910,5764,5969,5782,15693,2618,4154,1457,3284,62,5430
M‚xico ,67,1142,1438,1407,1359,1176,2747,494,740,286,651,131,1163
Michoac n ,219,3139,3478,3976,4086,4001,9373,1846,2453,931,1908,116,3552
Morelos ,96,2312,3147,3663,3975,3595,9130,1775,2818,1045,2151,61,3376
Nayarit ,229,1177,1349,1588,1653,1816,4423,990,1285,658,1118,68,1635
Nuevo Le¢n ,2,9,14,14,14,15,75,8,13,3,12,0,17
Oaxaca ,23,409,517,581,591,563,1395,323,505,220,572,7,570
Puebla ,70,927,1133,1384,1609,1436,3357,768,1138,504,1165,7,1349
Quer‚taro ,23,268,313,460,602,712,2064,306,513,163,329,0,575
Quintana Roo ,1,13,5,4,14,15,45,7,12,1,6,1,12
San Luis Potos¡ ,4,20,25,25,39,43,113,18,41,15,35,0,37
Sinaloa ,51,695,809,998,1071,1047,2904,624,936,352,711,5,1020
Sonora ,68,625,616,641,619,550,1517,300,484,161,298,6,588
Tabasco ,0,4,5,1,3,5,14,2,4,1,1,0,4
Tamaulipas ,5,44,34,52,49,45,152,27,40,15,36,1,50
Tlaxcala ,0,1,3,4,5,6,15,7,6,2,3,0,5
Veracruz ,4,12,19,8,27,29,84,14,24,9,14,0,24
Yucat n ,0,2,3,1,6,6,9,2,7,3,4,0,4
Zacatecas ,22,278,347,456,495,443,1062,262,305,154,362,2,418
TOTAL GLOBAL ,1968,24531,29823,34993,36730,33922,86841,16350,24225,9255,20069,539,31924
