Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,147.22,1490,74,88,126,197,204,154,119,115,130,143,79,61
BajaCalifornia,2.48,69,3,4,2,1,5,5,5,18,13,5,7,1
BajaCaliforniaSur,16.57,79,4,3,5,6,10,4,12,11,7,8,7,2
Campeche,6.4,48,3,10,6,6,4,0,7,3,2,1,2,4
Coahuila,3.35,83,0,1,3,7,5,9,26,4,19,5,1,3
Colima,1780.99,10271,837,736,575,877,687,899,1119,874,943,1165,837,722
Chiapas,4.54,195,11,25,12,22,10,11,21,19,11,25,11,17
Chihuahua,14.07,466,11,9,12,27,65,62,89,54,66,49,16,6
DistritoFederal,3.04,268,16,18,25,27,25,27,30,17,24,30,15,14
Durango,357.24,5512,167,122,270,585,890,759,664,534,464,430,343,284
Guanajuato,482.78,24073,1266,1580,2104,4226,3837,2029,1626,1548,1448,1815,1253,1341
Guerrero,747.88,24204,1672,1487,1492,2104,1863,1940,2456,1780,1940,2646,2919,1905
Hidalgo,11.74,276,11,17,18,24,27,31,32,29,30,31,15,11
Jalisco,723.16,48453,3671,2774,3587,6125,5346,4472,4421,3175,3318,4782,3578,3204
MÃ©xico,39.85,5665,273,254,253,601,544,570,424,331,428,645,633,709
MichoacÃ¡n,680.9,28588,1823,1757,2218,3133,2974,2593,2750,1980,2083,3004,2451,1822
Morelos,1831.25,30741,1614,1702,2411,4546,3057,2914,2830,1953,2283,3216,2418,1797
Nayarit,1529.13,15052,932,636,744,1305,1156,1324,1523,1349,1521,2160,1305,1097
NuevoLeÃ_n,11.33,466,4,7,10,45,82,43,76,57,50,40,34,18
Oaxaca,116.01,4256,314,286,347,578,370,364,444,280,284,404,344,241
Puebla,285.49,15481,966,985,1290,2094,1596,1358,1496,1161,1097,1307,1182,949
QuerÃ©taro,283.49,4377,206,222,354,568,570,512,353,291,322,397,342,240
QuintanaRoo,8.87,90,1,1,6,11,3,11,4,7,12,18,6,10
SanLuisPotosÃ_,10.81,258,4,8,16,36,34,21,30,29,35,27,11,7
Sinaloa,276.37,7525,387,308,272,470,530,700,961,954,906,1093,576,368
Sonora,472.52,11387,392,353,328,806,1541,1858,1222,1463,1064,1453,235,672
Tabasco,2.18,44,2,4,1,5,6,0,7,5,5,6,3,0
Tamaulipas,17.16,523,9,7,19,42,69,47,199,51,42,20,10,8
Tlaxcala,2.98,31,1,0,5,5,3,1,7,4,2,2,1,0
Veracruz,3.43,249,10,12,26,30,15,26,33,30,26,23,12,6
YucatÃ¡n,3.63,64,2,8,2,3,5,5,16,8,5,5,3,2
Zacatecas,205.15,2899,106,99,188,343,542,370,332,220,229,232,128,110
TOTALGLOBAL,233.35,243183,14792,13523,16727,28855,26075,23119,23334,18354,18809,25187,18777,15631
